iter	Passed	Remaining
1512	41907	235077
1513	41935	235048
1514	41962	235018
1515	41990	234991
1516	42018	234967
1517	42046	234941
1518	42074	234914
1519	42101	234884
1520	42129	234858
1521	42157	234829
1522	42184	234798
1523	42211	234768
1524	42239	234739
1525	42266	234708
1526	42294	234680
1527	42321	234654
1528	42349	234625
1529	42376	234596
1530	42404	234569
1531	42432	234540
1532	42459	234512
1533	42488	234488
1534	42515	234459
1535	42542	234428
1536	42570	234398
1537	42596	234366
1538	42624	234335
1539	42651	234306
1540	42679	234278
1541	42707	234251
1542	42735	234226
1543	42763	234202
1544	42790	234172
1545	42818	234142
1546	42846	234116
1547	42873	234087
1548	42901	234061
1549	42929	234032
1550	42956	234003
1551	42983	233973
1552	43010	233943
1553	43037	233910
1554	43065	233880
1555	43092	233851
1556	43119	233821
1557	43148	233797
1558	43175	233768
1559	43202	233738
1560	43230	233710
1561	43257	233681
1562	43284	233649
1563	43312	233622
1564	43340	233593
1565	43367	233564
1566	43395	233538
1567	43422	233509
1568	43451	233484
1569	43478	233456
1570	43506	233426
1571	43533	233398
1572	43560	233368
1573	43588	233342
1574	43617	233317
1575	43644	233289
1576	43672	233264
1577	43703	233251
1578	43732	233230
1579	43759	233198
1580	43787	233171
1581	43814	233141
1582	43841	233109
1583	43868	233081
1584	43896	233055
1585	43923	233024
1586	43951	232993
1587	43978	232966
1588	44006	232936
1589	44034	232910
1590	44061	232880
1591	44089	232854
1592	44116	232825
1593	44143	232794
1594	44171	232765
1595	44198	232735
1596	44226	232708
1597	44253	232678
1598	44281	232650
1599	44309	232625
1600	44337	232601
1601	44365	232574
1602	44393	232544
1603	44419	232511
1604	44447	232482
1605	44475	232457
1606	44502	232429
1607	44531	232403
1608	44558	232376
1609	44586	232347
1610	44613	232316
1611	44641	232290
1612	44669	232265
1613	44697	232236
1614	44724	232206
1615	44751	232177
1616	44778	232145
1617	44806	232119
1618	44834	232091
1619	44861	232061
1620	44888	232031
1621	44916	232003
1622	44943	231973
1623	44971	231947
1624	44998	231914
1625	45025	231882
1626	45053	231855
1627	45079	231823
1628	45107	231797
1629	45135	231767
1630	45161	231734
1631	45189	231706
1632	45216	231673
1633	45243	231643
1634	45270	231613
1635	45298	231586
1636	45326	231561
1637	45353	231530
1638	45381	231504
1639	45409	231476
1640	45437	231449
1641	45464	231422
1642	45493	231400
1643	45521	231371
1644	45547	231338
1645	45574	231307
1646	45602	231279
1647	45630	231252
1648	45657	231221
1649	45684	231191
1650	45711	231161
1651	45740	231139
1652	45768	231113
1653	45796	231087
1654	45824	231058
1655	45851	231027
1656	45878	230999
1657	45906	230972
1658	45934	230943
1659	45961	230915
1660	45989	230886
1661	46016	230856
